('17:04:29.977396', 70529.92, 70590.22, 9320.77, 15.7, 8.7, 1.8620555555555565)
('17:04:30.090309', 76512.34, 76413.77, 9328.49, 15.7, 12.5, 2.100083333333335)
('17:04:30.194808', 69558.32, 69603.96, 9331.7, 15.7, 16.7, 2.4613888888888895)
------------time slot: 2015-08-02 00:00:05, band 1798.0 Kbps -------------
('17:04:30.300883', 76441.47, 76411.49, 9271.15, 15.6, 0.0, 1.9415833333333343)
('17:04:30.406799', 79929.93, 79959.96, 9272.23, 15.6, 10.0, 1.512583333333334)
('17:04:30.512544', 80300.79, 80255.68, 9269.34, 15.6, 0.0, 1.3998055555555562)
('17:04:30.617150', 82040.47, 82131.66, 9271.22, 15.6, 4.3, 1.3999166666666674)
('17:04:30.730649', 78335.04, 78335.04, 9270.94, 15.6, 15.4, 1.3999444444444449)
('17:04:30.844182', 77732.19, 77732.19, 9271.12, 15.6, 4.2, 1.443083333333334)
('17:04:30.958055', 77805.68, 77791.72, 9271.12, 15.6, 8.3, 1.5000000000000004)
('17:04:31.071526', 77887.2, 77901.22, 9271.61, 15.6, 4.3, 1.5009166666666671)
('17:04:31.184974', 77930.95, 77916.93, 9271.61, 15.6, 0.0, 1.4999444444444447)
('17:04:31.298242', 76861.4, 76875.44, 9285.61, 15.7, 9.1, 1.5525000000000009)
('17:04:31.404974', 79915.48, 79900.59, 9303.04, 15.7, 8.3, 1.6000000000000005)
('17:04:31.511675', 78999.82, 78970.02, 9317.68, 15.7, 12.5, 1.7056388888888898)
('17:04:31.622550', 78563.81, 78563.81, 9333.4, 15.7, 14.3, 1.9358888888888903)
('17:04:31.727120', 78442.68, 78457.88, 9333.78, 15.7, 10.0, 2.2221111111111127)
('17:04:31.833163', 74392.44, 74377.44, 9287.5, 15.7, 0.0, 1.805222222222223)
('17:04:31.939067', 72580.2, 72580.2, 9301.45, 15.7, 10.0, 1.7610833333333338)
('17:04:32.045126', 79223.41, 79253.39, 9316.8, 15.7, 0.0, 1.8613888888888894)
('17:04:32.151041', 80141.16, 80141.16, 9334.95, 15.7, 0.0, 1.880722222222223)
('17:04:32.255833', 77829.31, 77798.97, 9331.29, 15.7, 22.2, 2.8439999999999994)
------------time slot: 2015-08-02 00:00:06, band 8559.0 Kbps -------------
('17:04:32.360229', 75033.41, 75033.41, 9271.18, 15.6, 0.0, 2.3403611111111116)
('17:04:32.464721', 80334.95, 80319.74, 9273.59, 15.6, 0.0, 1.6777777777777787)
('17:04:32.570507', 79667.96, 79682.99, 9273.59, 15.6, 10.0, 1.5998888888888898)
