time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
20:16:15.722382,3.06,23788.69,12368.06,23.5,3.6,1.4720277777777782
20:16:15.825685,8.15,23925.76,12368.06,23.5,3.8,1.4151388888888894
20:16:15.929713,6.65,23715.21,12368.06,23.5,3.8,1.484833333333334
20:16:16.034358,9.18,23820.28,12368.06,23.5,4.1,1.604805555555557
20:16:16.140423,5.28,23830.25,12368.06,23.5,3.8,1.5915000000000008
20:16:16.247753,5.3,23781.52,12368.46,23.5,4.0,1.4478611111111122
20:16:16.357117,8.64,21204.66,12366.56,23.5,8.4,2.2287500000000002
20:16:16.468013,6.31,23669.82,12366.56,23.5,3.7,1.8665277777777785
20:16:16.578734,4.99,23577.03,12366.81,23.5,3.9,1.7751388888888895
20:16:16.689435,5.73,23563.35,12368.53,23.5,4.5,1.66663888888889
20:16:16.800100,5.14,23482.77,12368.53,23.5,3.7,1.6986666666666677
20:16:16.910721,17.51,23593.75,12368.53,23.5,4.2,1.6277222222222232
20:16:17.021575,7.77,23577.98,12368.53,23.5,3.7,1.5498888888888898
20:16:17.132288,17.36,23644.08,12368.53,23.5,3.7,1.5131111111111117
20:16:17.243032,5.06,23671.09,12368.53,23.5,3.7,1.6603611111111114
20:16:17.353914,4.98,23748.0,12369.02,23.5,3.7,1.538472222222223
20:16:17.464711,9.43,23750.91,12369.02,23.5,3.4,1.4805000000000006
20:16:17.575400,10.8,23690.1,12369.52,23.5,3.9,1.4805000000000006
20:16:17.686038,6.35,23681.18,12369.76,23.5,4.2,1.7831666666666675
20:16:17.796689,7.94,23760.21,12369.76,23.5,3.4,1.6054444444444451
20:16:17.907434,7.18,23821.1,12369.76,23.5,3.2,1.6055000000000006
20:16:18.018179,4.99,23745.31,12369.76,23.5,3.4,1.5276944444444451
20:16:18.128814,12.16,23736.19,12369.51,23.5,3.7,1.6276944444444448
20:16:18.239454,11.63,23590.04,12369.51,23.5,3.4,1.6054722222222229
20:16:18.350241,4.99,23696.27,12369.51,23.5,3.4,1.6055555555555563
20:16:18.460866,12.99,23558.86,12369.51,23.5,3.7,1.581777777777778
20:16:18.571496,17.3,23627.68,12369.51,23.5,3.4,1.427722222222223
20:16:18.682261,11.45,23654.76,12369.76,23.5,3.7,1.5276944444444451
20:16:18.792910,15.04,23731.85,12369.76,23.5,3.7,1.4276666666666673
20:16:18.903538,12.99,23722.97,12370.25,23.5,3.4,1.5054444444444453
20:16:19.014217,10.87,23836.64,12370.25,23.5,4.0,1.7001388888888895
20:16:19.124906,25.07,23741.36,12370.02,23.5,3.7,1.5055000000000005
20:16:19.235512,13.61,23312.35,12369.85,23.5,4.0,1.5277500000000006
20:16:19.346277,8.68,23493.7,12369.93,23.5,3.4,1.5276666666666674
20:16:19.456968,15.6,23551.57,12369.93,23.5,3.7,1.5276944444444451
20:16:19.567599,15.04,23549.1,12370.42,23.5,3.4,1.5276944444444451
20:16:19.678236,18.03,23551.36,12370.42,23.5,4.2,1.5276944444444451
20:16:19.788704,7.62,23706.98,12369.3,23.5,4.7,1.8787222222222235
20:16:19.896580,13.4,23669.35,12368.83,23.5,3.5,1.7282500000000007
20:16:20.007344,12.91,22475.57,12368.83,23.5,3.2,1.449972222222223
20:16:20.118155,12.36,22464.8,12369.8,23.5,3.2,1.505166666666667
20:16:20.228807,21.31,22483.49,12369.8,23.5,3.2,1.3999444444444449
20:16:20.339517,15.17,22342.92,12369.8,23.5,3.5,1.399944444444445
20:16:20.450287,13.76,22447.67,12369.8,23.5,3.2,1.3498333333333337
20:16:20.560971,25.07,22422.97,12369.23,23.5,3.2,1.3498333333333337
20:16:20.671646,9.85,22432.71,12369.23,23.5,3.5,1.3498888888888891
20:16:20.781971,6.6,22478.15,12369.23,23.5,3.2,1.7392222222222236
