time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
10:54:02.929392,554.85,25.92,16691.88,30.3,33.4,1.9223888888888898
10:54:03.036772,289.05,34.65,16378.25,30.3,25.8,2.112888888888889
10:54:03.141046,447.87,21.78,16477.41,30.1,23.9,1.8679444444444446
10:54:03.246269,387.32,18.62,16458.31,29.9,27.6,1.9325000000000006
10:54:03.352706,523.23,34.57,16508.88,30.2,26.3,1.960194444444445
10:54:03.460503,450.79,32.31,16451.09,30.2,29.6,1.535138888888889
10:54:03.571316,437.88,28.34,16431.79,29.9,29.8,1.6167500000000004
10:54:03.682708,445.5,27.16,16439.5,30.0,29.2,1.844388888888889
10:54:03.794798,440.77,30.75,16475.71,29.9,32.6,1.7239444444444443
10:54:03.907406,350.58,23.74,16554.12,30.2,29.7,1.94175
10:54:04.020824,347.93,23.99,16531.55,30.2,28.3,1.5736944444444447
10:54:04.132199,421.31,29.5,16471.1,30.1,21.9,1.6525833333333333
10:54:04.243516,412.71,27.35,16459.04,30.1,30.5,1.4754444444444446
10:54:04.354630,450.77,30.9,16466.0,29.9,29.4,1.859555555555556
10:54:04.469051,542.25,28.66,16533.49,30.2,39.9,2.022472222222222
10:54:04.584843,524.72,31.9,16466.19,30.1,25.3,1.9926111111111118
10:54:04.701073,391.74,32.05,16539.36,30.0,33.6,2.3899999999999997
10:54:04.806899,425.43,34.16,16443.63,30.2,33.3,1.9643333333333333
10:54:04.914147,449.38,27.0,16463.61,30.1,26.3,2.1189722222222227
10:54:05.018657,418.75,26.86,16473.76,29.9,31.4,1.937555555555556
10:54:05.132035,372.92,26.53,16462.84,30.0,34.2,1.9216388888888893
10:54:05.244101,351.37,25.58,16427.01,29.9,23.2,1.738111111111111
10:54:05.356952,375.83,25.58,16448.34,30.2,30.8,2.0548055555555553
10:54:05.468118,472.99,26.48,16409.31,29.8,31.7,1.8526388888888892
10:54:05.580040,445.76,33.09,16409.56,29.8,31.2,1.8661666666666672
10:54:05.691090,500.74,26.52,16496.55,30.2,31.8,2.1721388888888895
10:54:05.801845,528.91,27.9,16515.11,30.1,24.9,1.7785000000000006
10:54:05.907416,359.5,32.27,16494.81,30.1,33.9,2.187138888888889
10:54:06.012146,403.72,32.08,16497.79,30.0,31.6,1.9475555555555562
10:54:06.122993,460.1,28.58,16368.25,29.9,30.0,2.1768888888888887
10:54:06.232012,469.35,27.77,16408.61,29.9,23.7,1.7158333333333335
10:54:06.346538,396.98,20.81,16402.14,30.0,24.8,1.6959444444444445
10:54:06.457729,313.86,16.39,16431.54,30.0,27.9,1.9921388888888896
10:54:06.568981,434.07,24.12,16372.79,30.1,34.9,1.9100000000000001
10:54:06.682286,415.21,33.73,16381.46,29.8,31.2,1.8280277777777778
10:54:06.787085,461.92,30.04,16452.9,30.0,28.8,1.9382500000000005
10:54:06.901256,563.23,21.81,16403.3,29.9,23.8,1.752194444444445
10:54:07.013601,10627.75,59.2,16425.77,29.9,34.0,1.6335833333333332
10:54:07.125494,39554.77,13.98,16249.25,29.9,33.0,2.0070555555555556
10:54:07.236891,52000.9,24.41,16292.37,29.7,30.4,2.0220833333333332
10:54:07.349936,52431.5,8.4,16355.93,29.8,24.3,2.053333333333334
10:54:07.456500,54605.35,3.72,16367.2,30.1,27.3,1.947444444444444
10:54:07.562518,52129.65,14.55,16336.05,29.9,21.8,1.857083333333333
10:54:07.671003,57243.04,9.96,16428.5,29.9,31.4,2.0116666666666667
10:54:07.782062,53846.74,22.09,16433.5,29.9,30.7,2.064194444444445
10:54:07.894351,58146.84,17.78,16458.1,30.1,35.2,2.4629166666666666
10:54:08.000090,57291.19,25.4,16376.25,29.9,25.4,1.701666666666667
10:54:08.113551,56087.94,2.96,16282.96,30.0,30.2,1.947444444444445
10:54:08.223779,55818.46,8.43,16385.53,29.8,29.5,2.1402777777777775
10:54:08.332076,51861.5,5.7,16443.5,29.9,31.6,1.8284722222222227
10:54:08.443300,54353.01,6.16,16406.18,30.2,31.1,1.825944444444445
10:54:08.555087,54940.92,10.08,16508.22,30.2,25.0,1.981444444444445
10:54:08.666464,59359.81,3.86,16460.93,30.1,30.7,1.8988055555555556
10:54:08.781467,34391.08,0.0,16511.18,30.0,34.4,2.316944444444444
10:54:08.886967,1624.34,0.0,16509.46,30.2,31.3,1.8975277777777784
10:54:08.996754,1627.53,15.23,16519.9,30.2,24.5,1.7400000000000002
10:54:09.107743,1641.15,0.0,16411.75,30.0,30.5,2.1838611111111117
10:54:09.217216,1622.64,0.0,16418.82,30.0,28.4,1.9164722222222228
10:54:09.328079,1639.91,0.0,16462.89,29.9,32.6,1.9813611111111118
10:54:09.439446,1634.43,25.69,16522.71,30.1,27.9,1.7811944444444445
10:54:09.551797,1628.81,3.53,16488.25,30.3,25.6,1.8235277777777783
10:54:09.663526,1619.73,6.35,16479.88,30.0,27.3,2.0656944444444445
10:54:09.775995,1638.16,8.11,16477.33,29.9,27.2,1.7739444444444448
10:54:09.886722,1637.65,6.33,16552.46,30.2,32.7,2.481638888888889
10:54:09.998606,1626.87,10.63,16515.33,30.0,21.8,1.994805555555556
10:54:10.111061,1656.49,95.06,16397.49,30.2,29.9,2.0869166666666668
10:54:10.222546,1636.5,12.33,16339.73,29.7,34.6,1.8398055555555557
10:54:10.335017,1637.42,12.76,16321.06,29.8,30.7,2.003333333333334
10:54:10.445639,4732.41,0.69,16327.23,29.7,22.0,1.9098888888888885
10:54:10.559121,36108.67,1.1,16337.12,30.3,23.7,1.9470555555555558
10:54:10.671455,1088.33,8.15,16312.33,29.8,26.4,2.312472222222222
10:54:10.776468,1118.63,6.25,16302.11,29.7,29.1,2.269083333333333
10:54:10.887344,1115.3,19.59,16376.12,29.8,30.3,2.4373611111111115
10:54:10.992435,1137.98,27.93,16360.15,29.9,32.9,2.141611111111112
10:54:11.097358,1113.19,7.19,16320.3,29.8,27.1,1.901333333333334
10:54:11.201188,1126.02,8.18,16356.89,29.9,19.2,1.8193055555555562
10:54:11.305331,1110.82,14.85,16356.69,29.8,26.9,1.9440277777777781
10:54:11.416422,1116.11,12.62,16365.4,29.9,27.3,2.0254444444444446
10:54:11.529295,1117.62,11.32,16380.82,30.0,35.7,2.157055555555556
10:54:11.642337,1124.65,14.12,16367.89,29.9,22.8,2.0734722222222226
10:54:11.753483,1115.81,6.78,16368.92,29.8,28.3,1.8242222222222226
10:54:11.864660,1117.59,20.87,16519.64,30.2,29.8,2.2670277777777783
10:54:11.975788,1108.63,13.85,16470.62,30.1,31.4,2.366250000000001
10:54:12.087862,1118.34,18.72,16484.0,30.0,27.5,2.0163611111111113
10:54:12.199097,1113.44,10.1,16381.52,29.8,24.1,2.075000000000001
10:54:12.310246,22812.52,14.06,16525.22,30.1,28.7,2.0690833333333334
10:54:12.423974,16094.16,14.01,16493.84,30.2,28.6,2.1436944444444443
10:54:12.536190,258.24,16.17,16614.43,30.2,29.8,1.9300277777777777
10:54:12.647306,250.71,16.29,16686.18,30.4,20.3,1.887111111111112
10:54:12.759079,257.58,7.74,16574.12,30.1,24.4,1.693277777777778
10:54:12.870346,258.53,15.76,16643.67,30.3,29.6,1.8701944444444447
10:54:12.981643,260.3,16.3,16505.22,30.2,33.9,2.051638888888889
10:54:13.095187,253.94,19.52,16420.86,30.0,32.4,2.1687222222222218
10:54:13.206406,259.25,13.86,16368.4,29.9,22.2,1.777277777777778
10:54:13.317655,248.56,11.01,16412.45,29.8,31.3,1.7875833333333335
10:54:13.428946,273.02,27.64,16465.14,30.1,31.2,1.860333333333334
10:54:13.540415,262.93,18.98,16496.37,30.0,31.6,1.6215833333333338
10:54:13.653618,358.8,19.86,16298.04,30.1,34.6,1.9204444444444446
10:54:13.765857,441.2,13.82,16270.41,29.6,24.9,1.597666666666667
10:54:13.877329,610.59,35.02,16263.19,29.6,30.1,1.760166666666667
10:54:13.991102,600.58,32.26,16360.45,30.0,32.5,1.757638888888889
10:54:14.102451,16181.83,24.73,16394.37,30.0,33.5,1.9488055555555563
10:54:14.215099,26626.08,13.63,16385.11,30.0,35.3,2.0678611111111116
10:54:14.326531,1072.36,13.11,16386.12,29.8,29.9,1.9566111111111115
10:54:14.437744,1057.46,14.35,16460.8,30.0,30.0,1.8505277777777778
10:54:14.549485,1068.37,22.29,16522.86,30.3,32.8,2.0279444444444454
10:54:14.662532,1046.53,2.9,16347.69,29.9,30.0,2.3555277777777777
10:54:14.770423,1056.93,8.18,16339.62,29.7,29.8,2.08475
10:54:14.874325,1049.31,5.94,16394.18,30.0,31.2,2.5893611111111112
10:54:14.978230,1058.56,7.26,16418.65,29.8,26.8,2.1797500000000003
10:54:15.083667,1044.08,11.36,16398.89,30.2,22.7,2.0484444444444443
10:54:15.194937,1080.36,31.75,16320.49,29.8,30.0,1.8515000000000006
10:54:15.307871,1065.44,19.61,16368.42,29.8,29.8,1.9426666666666672
10:54:15.419977,1060.76,19.9,16367.7,29.9,31.5,1.9835000000000003
10:54:15.527507,1051.72,12.55,16476.51,30.2,30.1,1.6951111111111112
10:54:15.641185,1070.53,6.87,16338.1,30.0,24.6,1.9271388888888887
10:54:15.754769,1043.81,6.71,16333.0,29.7,26.6,1.896583333333333
10:54:15.866365,1063.63,14.07,16343.18,29.8,29.3,1.7676666666666672
10:54:15.971752,29772.43,20.63,16224.4,29.7,32.4,1.8069722222222222
10:54:16.083124,7263.2,28.59,16231.47,29.8,35.0,2.172833333333333
10:54:16.196200,931.5,16.27,16115.16,29.6,34.3,1.9478611111111113
10:54:16.307048,911.18,13.21,16133.29,29.6,29.9,3.4975555555555555
10:54:16.412519,928.39,23.65,16078.34,29.5,29.3,2.0488611111111115
10:54:16.526984,905.54,8.72,16112.32,29.4,32.4,2.1805277777777787
10:54:16.631234,900.1,21.13,16045.9,29.6,31.5,1.9358611111111115
10:54:16.742485,899.1,15.05,16138.33,29.6,25.6,2.3009166666666676
10:54:16.854716,910.78,10.7,16128.72,29.4,28.8,1.6855277777777784
