time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
16:36:18.824826,3.3,3.3,10129.18,17.0,3.3,1.400027777777778
16:36:18.927977,14.58,14.58,10129.18,17.0,2.7,1.3647222222222224
16:36:19.031790,11.23,11.23,10128.85,17.0,3.0,1.3236111111111115
16:36:19.136604,12.32,12.32,10128.81,17.0,3.2,1.4186944444444447
16:36:19.242341,14.07,14.07,10128.81,17.0,3.5,1.3645000000000005
16:36:19.349616,31.56,31.56,10138.66,17.0,3.2,1.3880277777777785
16:36:19.459281,10.29,10.29,10128.72,17.0,2.9,1.3999722222222228
16:36:19.566482,10.44,10.44,10128.72,17.0,3.8,1.4459166666666674
16:36:19.672868,10.31,10.31,10128.72,17.0,3.8,1.4462777777777787
16:36:19.775739,17.58,17.58,10128.97,17.0,3.8,1.943777777777779
16:36:19.878825,30.15,30.15,10129.71,17.0,3.3,1.6274166666666678
16:36:19.982007,21.98,21.98,10129.71,17.0,4.1,1.4454444444444454
16:36:20.089774,16.35,16.35,10129.66,17.0,3.0,1.4985833333333347
16:36:20.192721,30.07,30.07,10129.87,17.0,3.0,1.4692500000000006
16:36:20.295529,18.47,18.47,10130.11,17.0,3.3,1.5722500000000008
16:36:20.399026,39.5,39.5,10177.58,17.1,2.7,1.299944444444445
16:36:20.506779,15.68,15.68,10131.26,17.0,3.2,1.3532500000000005
16:36:20.609667,20.45,20.45,10131.26,17.0,3.0,1.4791666666666676
16:36:20.712492,21.05,21.05,10131.98,17.0,3.0,1.5701944444444456
