time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
15:34:10.563244,241499.61,241490.44,8232.76,14.0,3.1,1.6190000000000007
15:34:11.066759,246402.03,246484.07,8228.58,14.0,3.3,2.116694444444445
15:34:11.570988,246122.65,246149.96,8219.87,14.0,3.2,1.5693333333333344
15:34:12.075922,241543.68,241469.84,8219.91,14.0,3.0,2.1255833333333336
15:34:12.580554,246318.45,246357.06,8220.65,14.0,3.1,1.3078611111111114
15:34:13.088275,244070.64,244105.69,8220.62,14.0,3.9,1.303722222222223
15:34:13.598213,245581.19,245590.2,8230.18,14.0,7.4,1.9758055555555565
15:34:14.105188,246251.25,246242.2,8230.43,14.0,3.8,1.4555555555555562
15:34:14.615715,240602.34,240593.35,8230.67,14.0,3.2,1.499833333333334
15:34:15.125912,243704.96,243632.99,8231.16,14.0,3.2,2.1438333333333346
15:34:15.630260,234674.03,234674.03,8229.37,14.0,3.4,3.578055555555556
