time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
10:39:00.537582,410.77,29.58,16425.45,30.0,27.1,1.721916666666667
10:39:00.641983,390.43,20.17,16501.9,29.9,24.1,1.8217500000000006
10:39:00.746751,431.87,26.96,16573.27,29.9,37.3,1.9895000000000005
10:39:00.853164,468.35,34.82,16629.31,30.0,30.8,2.0894722222222217
10:39:00.959749,456.87,29.94,16713.36,30.3,32.5,1.829305555555556
10:39:01.070135,332.94,24.91,16629.24,30.0,22.6,2.049555555555556
10:39:01.181070,395.57,18.27,16523.63,30.2,24.5,1.7942222222222226
10:39:01.292714,404.12,19.45,16536.07,29.9,33.9,1.902083333333334
10:39:01.406015,452.21,26.58,16544.78,29.9,27.9,1.9645
10:39:01.517108,513.35,29.89,16628.19,30.0,28.6,2.0892500000000007
10:39:01.628305,526.3,54.8,16706.72,30.4,33.4,2.24725
10:39:01.740235,340.86,26.72,16567.76,30.1,26.0,1.904666666666667
10:39:01.851357,436.84,23.06,16631.73,30.1,31.9,2.0746388888888885
10:39:01.963730,394.96,26.66,16525.14,29.9,28.5,1.6700277777777783
10:39:02.075445,487.25,29.91,16590.34,30.1,29.7,2.0179444444444448
10:39:02.187173,524.99,26.55,16478.68,30.0,34.5,2.1306666666666674
10:39:02.293352,398.78,41.39,16471.19,30.0,32.6,1.9151944444444449
10:39:02.397668,392.36,23.4,16538.26,29.9,27.6,1.967444444444445
10:39:02.510635,429.12,30.98,16572.64,29.9,29.9,2.0546666666666673
10:39:02.622116,459.6,29.73,16557.21,30.3,31.6,2.057472222222222
10:39:02.733229,300.41,26.05,16603.73,30.0,23.7,2.4304166666666673
10:39:02.839037,370.29,23.02,16566.71,30.1,32.1,2.242555555555556
10:39:02.951783,434.86,51.43,16562.62,29.9,32.1,1.878555555555556
10:39:03.061613,379.0,41.65,16494.7,30.0,33.9,2.3069444444444445
10:39:03.173961,484.53,27.36,16364.79,29.8,33.3,2.261694444444445
10:39:03.285083,486.6,25.61,16360.24,29.6,31.7,2.0008888888888894
10:39:03.396286,567.39,29.61,16308.54,29.8,21.5,1.9991388888888895
10:39:03.507428,471.95,20.1,16382.78,29.7,20.7,1.67625
10:39:03.618667,455.98,44.0,16394.34,29.7,29.2,2.0477777777777777
10:39:03.730255,344.0,35.64,16485.02,30.1,32.5,2.027
10:39:03.841549,333.01,29.18,16447.55,30.0,26.9,1.8647500000000004
10:39:03.953118,386.95,38.36,16486.9,29.8,31.8,1.9350000000000007
10:39:04.064315,386.63,28.95,16465.79,29.8,29.1,1.7889444444444444
10:39:04.176074,497.32,36.44,16429.99,29.8,33.5,1.9029722222222223
10:39:04.289414,563.71,51.73,16504.79,30.3,29.7,3.058916666666667
10:39:04.394642,566.25,29.79,16457.18,29.8,24.5,2.1613333333333333
10:39:04.498913,467.29,40.65,16436.36,29.7,31.2,1.672777777777778
10:39:04.610149,385.0,32.94,16484.43,29.8,29.8,2.0049444444444453
10:39:04.721399,496.79,44.4,16536.7,30.3,31.0,2.0266388888888884
10:39:04.832233,437.45,36.93,16465.38,29.9,31.9,2.1528333333333336
10:39:04.945913,353.52,25.81,16430.37,29.7,24.7,1.7135833333333332
10:39:05.058284,345.17,29.93,16522.13,29.9,31.2,1.7724444444444443
10:39:05.169631,429.91,32.68,16422.77,30.0,27.8,1.8430833333333334
