time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
10:55:25.452608,436.14,21.86,15880.03,29.1,39.7,1.953638888888889
10:55:25.556517,380.86,25.64,15925.73,29.1,32.4,1.9061666666666666
10:55:25.661392,502.1,31.19,15882.03,29.1,31.4,1.9514444444444448
10:55:25.766742,528.13,26.08,16020.48,29.4,24.8,1.7481944444444448
10:55:25.876367,520.37,25.87,16049.88,29.3,34.1,2.1121111111111115
10:55:25.984742,353.5,29.59,15990.01,29.3,35.4,2.0929444444444445
10:55:26.095146,423.8,22.15,15956.22,29.1,29.1,1.8883055555555555
10:55:26.203583,403.51,21.7,15885.6,29.1,22.0,1.7339444444444447
10:55:26.312371,444.83,28.67,15791.88,29.2,25.9,2.033916666666667
10:55:26.418849,521.82,19.68,15924.89,29.2,30.8,2.1556111111111114
10:55:26.523052,363.66,27.89,15940.61,29.1,33.6,1.9467777777777782
10:55:26.627202,405.89,22.97,15940.61,29.1,28.5,1.6657222222222225
10:55:26.732426,444.01,25.1,16021.25,29.2,26.9,2.1621944444444456
10:55:26.837909,471.68,26.24,15947.19,29.5,25.1,1.7010277777777785
10:55:26.945373,474.87,25.12,15956.82,29.5,26.8,2.1385833333333335
10:55:27.056238,442.03,50.05,15995.22,29.2,30.3,1.8016111111111108
10:55:27.167362,43720.6,17.93,15918.89,29.1,33.2,1.9231388888888898
10:55:27.278490,49891.22,6.52,16012.51,29.3,32.6,1.837388888888889
10:55:27.389587,52620.96,23.5,15949.79,29.5,37.3,1.9761388888888891
10:55:27.499180,55860.17,15.81,15894.47,29.2,25.3,1.8340833333333333
10:55:27.613601,55981.25,0.6,15877.49,29.0,30.4,1.9230277777777782
10:55:27.725291,58875.2,7.05,15955.26,29.4,35.2,2.0165000000000006
10:55:27.829925,55854.9,0.0,15984.69,29.3,37.0,2.0187222222222223
10:55:27.943764,59569.78,0.6,15894.4,29.3,33.7,1.8291111111111116
10:55:28.054738,56825.74,18.64,16117.41,29.5,32.3,3.1513611111111106
10:55:28.159197,56954.83,0.73,15982.11,29.3,33.9,1.8973611111111117
10:55:28.270414,59632.36,0.68,15985.86,29.2,31.4,1.806861111111111
10:55:28.382717,58854.77,0.0,15914.25,29.2,36.8,1.982055555555556
10:55:28.487244,58100.65,0.73,15942.21,29.4,27.2,1.8801111111111115
10:55:28.601699,57461.81,6.88,16058.48,29.3,36.1,2.2609722222222226
10:55:28.715168,59093.29,0.0,16087.0,29.4,31.2,1.6730833333333335
10:55:28.825916,46836.37,0.0,16022.1,29.2,24.8,1.839472222222223
------------time slot: 2015-08-02 00:00:03, band 13294.0 Kbps -------------
10:55:28.932102,1623.67,0.0,16096.14,29.5,27.6,1.9277777777777783
10:55:29.044514,1627.43,12.56,16026.66,29.6,25.5,1.8986388888888892
10:55:29.157706,1640.07,6.47,15992.8,29.2,34.8,2.0701944444444447
10:55:29.262278,1628.77,0.0,15986.14,29.4,33.0,2.1810555555555555
10:55:29.366782,1630.41,1.46,16034.09,29.2,23.0,2.3601111111111113
10:55:29.471310,1630.09,43.27,16061.54,29.3,27.4,1.6353055555555558
10:55:29.576282,1647.61,0.0,16167.48,29.9,23.6,1.8722777777777775
10:55:29.683414,1640.59,0.0,16204.59,29.7,23.8,1.890638888888889
10:55:29.788091,1622.61,10.54,16283.36,29.8,30.1,1.819666666666667
10:55:29.894368,1632.12,0.0,16274.28,29.6,31.5,2.115861111111111
10:55:29.998865,1634.51,81.1,16282.48,29.7,29.0,2.0342777777777776
10:55:30.103492,1644.93,11.29,16251.85,29.8,30.4,2.099166666666667
10:55:30.211376,1629.72,4.38,16276.25,29.8,22.4,1.6435555555555559
10:55:30.325212,1625.92,2.81,16278.14,29.6,28.3,1.7289722222222226
10:55:30.438946,1641.75,17.48,16215.35,29.7,27.7,2.0006388888888895
10:55:30.550010,4837.5,7.47,16278.7,29.7,29.7,2.0806388888888896
10:55:30.661089,41466.13,0.0,16321.86,30.0,31.9,2.0291111111111113
------------time slot: 2015-08-02 00:00:04, band 9071.0 Kbps -------------
10:55:30.772318,1124.69,6.46,16299.66,29.7,28.5,2.0652222222222223
10:55:30.884855,1104.93,0.0,16291.97,29.7,28.8,1.9481944444444446
10:55:30.998090,1117.18,17.85,16390.24,29.9,28.4,2.192472222222223
10:55:31.109259,1110.62,8.93,16278.91,30.1,25.2,1.9078888888888892
10:55:31.220352,1083.74,3.64,16246.8,29.8,33.6,2.0256944444444454
10:55:31.331463,1120.95,5.77,16191.58,29.5,32.8,1.6967222222222218
10:55:31.442347,1120.29,24.66,16198.63,29.5,28.8,1.760361111111112
10:55:31.550249,1105.25,5.79,16121.36,29.9,38.6,1.8444722222222225
10:55:31.661470,1126.71,11.19,16132.41,29.8,30.9,1.975861111111112
10:55:31.771474,1108.41,10.67,16085.31,29.3,34.4,1.6722222222222227
10:55:31.883203,1139.07,7.32,16085.31,29.3,28.5,1.769222222222223
10:55:31.989929,1109.15,5.78,16148.93,29.5,30.5,2.165944444444445
10:55:32.102412,1115.97,10.64,15841.86,29.4,32.0,2.0125
10:55:32.213651,1109.04,3.56,15794.37,29.1,33.5,2.0147222222222227
10:55:32.325092,1113.48,18.19,15775.86,28.8,28.6,1.9434444444444452
10:55:32.438320,32994.05,9.21,15837.97,29.0,27.3,2.283777777777778
------------time slot: 2015-08-02 00:00:05, band 2048 Kbps -------------`
10:55:32.549475,287.82,11.32,15877.75,29.2,31.4,2.0804166666666677
10:55:32.660948,254.69,11.58,15910.55,29.1,21.0,1.933083333333334
10:55:32.773178,262.8,8.41,15858.05,29.2,26.0,1.837111111111111
10:55:32.887283,258.47,5.48,15884.62,29.0,30.0,1.9093888888888897
10:55:32.999107,253.52,5.52,15934.34,29.3,31.1,2.087972222222222
10:55:33.112650,250.89,11.56,15886.91,29.2,34.5,2.042361111111111
10:55:33.224768,258.01,18.66,15884.25,29.3,25.4,2.160361111111111
10:55:33.338570,251.26,2.81,15805.44,28.9,31.2,1.9777222222222233
10:55:33.449757,292.14,29.55,15800.59,29.1,27.0,2.0114722222222228
10:55:33.560383,253.12,13.59,15943.3,29.1,33.5,2.2944444444444447
10:55:33.664595,286.47,18.76,15905.14,29.6,26.5,2.009694444444445
10:55:33.776323,417.97,12.76,15875.98,29.2,30.4,1.993
10:55:33.887205,462.5,18.62,15910.59,29.1,31.1,1.7885000000000006
10:55:33.994757,439.54,20.96,15937.53,29.2,30.7,1.777027777777778
10:55:34.103932,513.85,23.88,15898.5,29.2,28.9,1.980861111111111
10:55:34.207997,21269.29,12.11,15892.34,29.4,25.3,2.241027777777777
10:55:34.313880,27506.04,10.07,15873.21,29.0,32.6,2.093111111111112
------------time slot: 2015-08-02 00:00:06, band 8559.0 Kbps -------------
10:55:34.425184,1072.32,12.23,15873.11,29.0,30.9,2.035611111111111
10:55:34.538544,1078.88,10.6,15947.52,29.1,29.4,1.7550000000000003
10:55:34.649917,1065.34,5.47,16119.77,30.0,26.2,2.1921944444444446
10:55:34.761755,1037.71,5.73,16172.73,29.6,30.2,2.138361111111111
10:55:34.876071,1052.97,7.77,16123.62,29.4,31.7,2.6643888888888885
10:55:34.986958,1057.36,10.83,16206.33,29.6,30.8,2.528222222222222
10:55:35.099915,1048.45,12.74,16190.14,29.5,24.2,2.107444444444445
10:55:35.206816,1075.62,7.11,15932.97,29.6,32.6,2.1077222222222227
10:55:35.312755,1064.64,23.64,15966.72,29.2,24.3,2.035277777777778
10:55:35.425561,1060.88,11.79,15953.46,29.1,30.5,2.3396666666666666
10:55:35.529810,1076.82,10.45,16077.6,29.3,29.8,2.442805555555556
10:55:35.641328,1082.14,11.12,15965.4,29.8,38.9,2.2175000000000002
10:55:35.754568,1056.21,5.02,15948.18,29.5,32.8,2.356611111111111
10:55:35.867689,1059.33,9.77,15868.04,29.0,30.5,1.9613611111111122
10:55:35.973115,1046.59,10.93,15873.48,29.0,27.0,2.276805555555556
10:55:36.084677,40664.34,12.15,15812.58,29.3,28.3,2.2406666666666673
------------time slot: 2015-08-02 00:00:07, band 7321.0 Kbps -------------
10:55:36.196729,915.09,14.05,15795.41,29.2,26.0,2.164416666666667
10:55:36.307863,911.61,13.32,15727.59,28.8,30.5,1.7027500000000004
10:55:36.420536,932.68,14.18,15727.59,28.8,33.3,1.8674722222222222
10:55:36.524533,952.43,10.16,15787.9,29.0,30.7,2.10425
10:55:36.628626,900.11,14.52,15866.09,29.2,24.7,1.8220555555555562
10:55:36.733056,898.07,18.52,15870.35,29.2,34.2,2.135
10:55:36.848760,908.46,8.0,15945.1,29.1,26.9,1.7844444444444447
10:55:36.961255,892.92,5.56,15972.17,29.2,23.6,2.029666666666666
10:55:37.076276,906.38,19.49,15900.37,29.2,36.2,2.118472222222222
10:55:37.181280,932.72,15.49,15788.02,29.0,34.9,2.2504166666666667
10:55:37.288275,906.77,10.13,15783.09,28.9,34.8,1.8286944444444453
10:55:37.398687,904.69,9.69,15782.82,28.9,30.3,1.8769722222222225
10:55:37.509378,900.36,8.22,15821.5,29.1,28.5,2.318944444444445
10:55:37.620551,899.38,8.24,15812.5,29.2,26.3,1.8564722222222225
10:55:37.729960,898.37,3.73,15927.98,29.3,29.5,2.061833333333334
10:55:37.842255,19082.32,10.56,16001.23,29.2,29.5,1.7960277777777784
10:55:37.947890,13049.65,9.98,16047.24,29.5,30.2,2.056916666666667
10:55:38.053936,586.03,6.61,16042.62,29.4,32.6,2.1413611111111113
10:55:38.165327,596.08,11.27,16001.45,29.3,30.9,2.209694444444444
10:55:38.276433,600.74,6.03,15993.74,29.2,29.3,2.8711111111111114
10:55:38.381334,593.62,7.65,16061.22,29.3,31.5,2.306083333333333
10:55:38.493169,594.66,3.25,16114.74,29.7,25.4,1.9032222222222228
10:55:38.604610,595.06,3.33,16089.87,29.3,31.4,1.7324722222222226
10:55:38.716215,594.19,3.61,16161.84,29.4,28.3,1.6862222222222225
10:55:38.829434,635.54,9.76,15923.54,29.1,23.0,2.0298333333333343
10:55:38.941180,600.22,6.36,15927.46,29.3,30.1,1.8302500000000004
10:55:39.054450,585.46,7.09,15969.68,29.2,31.7,2.0435833333333333
10:55:39.164234,604.61,12.08,15902.43,29.0,29.3,1.8270555555555559
10:55:39.268754,584.48,6.07,15947.14,29.3,30.1,1.7602222222222224
10:55:39.372777,605.33,21.01,16044.79,29.4,25.0,1.8658611111111112
10:55:39.477205,596.99,8.06,16091.94,29.5,31.6,2.112833333333334
10:55:39.590856,12233.63,11.95,16118.79,29.4,32.8,1.9514444444444452
10:55:39.704481,15530.42,5.83,16176.63,29.6,24.7,1.7087222222222223
10:55:39.815776,257.92,4.02,16251.87,29.6,27.3,1.9950000000000006
10:55:39.926546,259.07,3.35,16321.56,29.8,34.3,2.3225833333333328
10:55:40.031097,254.49,3.85,16316.26,29.8,32.1,1.7714444444444442
10:55:40.142248,249.4,10.12,16279.79,29.8,29.8,1.9320555555555563
10:55:40.247992,260.86,2.59,16423.04,30.0,23.2,1.6506944444444445
10:55:40.360359,255.39,3.91,16335.63,30.0,23.6,1.8668333333333333
10:55:40.471491,260.54,7.02,16330.43,29.7,25.8,1.7962222222222226
10:55:40.582643,259.41,6.87,16346.43,29.8,26.7,1.9074722222222225
10:55:40.694248,261.49,15.12,16389.44,29.9,34.8,2.0104444444444445
10:55:40.798181,271.25,20.81,16428.08,30.0,26.0,1.8172500000000005
10:55:40.902151,260.24,14.65,16284.29,29.8,28.5,2.069111111111111
10:55:41.007027,255.01,7.6,16421.54,30.0,31.4,2.1241111111111106
10:55:41.117427,251.85,11.62,16229.38,29.7,32.0,1.978
10:55:41.231022,263.17,6.19,16206.12,29.6,33.9,1.977388888888889
10:55:41.342038,250.46,7.51,16200.31,29.5,25.7,1.5657222222222227
10:55:41.452839,35520.84,5.53,16193.03,29.7,31.2,1.868583333333333
10:55:41.557007,256.27,6.34,16277.88,29.8,31.0,1.8312222222222228
10:55:41.667990,249.88,9.7,16258.53,29.8,38.2,2.131277777777778
10:55:41.775449,254.37,0.71,16315.45,29.8,22.1,1.8071666666666668
