time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
16:36:46.080763,12.06,12.06,10134.79,17.0,3.6,1.4943611111111117
16:36:46.184674,11.01,11.01,10135.04,17.0,3.3,1.3842500000000006
16:36:46.288393,10.8,10.8,10135.04,17.0,3.8,1.4495277777777782
16:36:46.393108,11.56,11.56,10135.19,17.0,3.0,1.4721388888888898
16:36:46.499097,26.53,26.53,10135.19,17.0,3.2,1.4188055555555563
16:36:46.606109,12.96,12.96,10135.44,17.0,3.2,1.2994166666666669
16:36:46.715203,11.23,11.23,10135.38,17.0,2.9,1.4968055555555564
16:36:46.825718,11.57,11.57,10135.38,17.0,2.9,1.3999444444444449
16:36:46.936291,13.11,13.11,10135.84,17.0,3.4,1.4302500000000005
16:36:47.046775,27.48,27.48,10136.52,17.0,3.7,1.6650833333333344
16:36:47.157359,13.45,13.45,10136.73,17.0,3.7,1.7230555555555565
16:36:47.267793,10.54,10.54,10136.73,17.0,3.2,1.480555555555556
16:36:47.378218,12.84,13.88,10169.71,17.1,2.6,1.3579444444444448
16:36:47.488903,45.44,44.4,10137.41,17.0,3.4,1.4499722222222227
16:36:47.599337,77.49,77.49,10137.13,17.0,4.2,1.5774444444444453
16:36:47.709910,11.18,11.18,10137.13,17.0,3.2,1.5249444444444453
16:36:47.820375,11.51,11.51,10137.08,17.0,3.4,1.5509444444444451
16:36:47.931132,12.3,12.3,10137.08,17.0,4.2,1.5218055555555563
16:36:48.041546,31.4,31.4,10137.07,17.0,4.2,1.8398888888888898
16:36:48.152209,14.38,14.38,10137.72,17.0,3.4,1.4526666666666679
16:36:48.262800,21.72,21.72,10125.9,17.0,4.8,1.8023888888888895
16:36:48.373306,11.06,11.06,10125.28,17.0,4.2,1.6353888888888901
16:36:48.483906,16.99,16.99,10126.59,17.0,4.2,1.5133055555555566
16:36:48.594160,17.82,17.82,10143.95,17.0,8.5,3.210027777777777
16:36:48.698852,16.72,16.72,10159.49,17.1,5.4,1.6790277777777785
16:36:48.809627,11.12,11.12,10176.41,17.1,6.3,1.6556666666666673
16:36:48.920351,20.93,20.93,10182.32,17.1,6.0,2.0696666666666674
16:36:49.031288,35.71,35.71,10122.53,17.0,4.5,1.533277777777778
16:36:49.142018,20.41,20.41,10122.68,17.0,2.9,1.5308333333333337
16:36:49.252622,10.53,10.53,10121.03,17.0,4.2,2.033472222222223
16:36:49.363030,10.61,10.61,10121.79,17.0,3.4,1.4286944444444454
16:36:49.473531,13.72,13.72,10123.95,17.0,3.4,1.628305555555556
16:36:49.584158,13.97,13.97,10124.93,17.0,4.2,1.9793333333333345
16:36:49.695181,16.83,16.83,10124.93,17.0,3.9,1.7245833333333342
