time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
15:13:14.625185,7.8,7.8,9733.96,16.4,9.7,1.8995555555555563
15:13:14.731627,9.63,9.63,9741.24,16.4,9.2,1.9812222222222233
15:13:14.835627,9.29,9.29,9692.15,16.3,9.2,1.7388611111111116
15:13:14.940432,6.92,6.92,9709.36,16.4,8.9,1.691694444444445
15:13:15.046532,8.97,8.97,9721.23,16.4,8.7,1.6714444444444454
15:13:15.154280,9.24,9.24,9741.29,16.4,9.6,1.8052777777777789
15:13:15.263469,5.04,5.04,9742.94,16.4,9.0,2.270083333333334
15:13:15.374183,13.05,13.05,9681.43,16.3,6.3,1.7293333333333343
15:13:15.484797,12.17,12.17,9682.77,16.3,5.8,1.7808611111111112
15:13:15.595100,8.58,8.58,9681.07,16.3,6.8,3.4058888888888883
15:13:15.699562,13.42,13.42,9682.86,16.3,4.4,2.031777777777778
15:13:15.804028,16.21,16.21,9683.85,16.3,4.6,1.7256111111111123
15:13:15.914637,9.12,9.12,9683.81,16.3,5.3,1.5104722222222227
15:13:16.025235,14.12,14.12,9684.51,16.3,5.2,1.5139166666666672
15:13:16.136104,9.89,9.89,9682.85,16.3,5.3,1.5989166666666672
15:13:16.246674,6.73,6.73,9683.99,16.3,5.0,1.5689166666666674
15:13:16.357285,19.15,19.15,9688.89,16.3,6.3,1.653250000000001
15:13:16.467820,9.52,9.52,9707.58,16.3,8.2,2.0528611111111115
15:13:16.578333,7.72,7.72,9723.04,16.4,7.9,2.1608888888888895
15:13:16.688827,5.46,6.38,9742.89,16.4,7.7,1.8472222222222234
15:13:16.799308,12.87,11.95,9743.19,16.4,7.4,2.0378888888888897
15:13:16.909877,8.51,8.51,9697.93,16.3,7.7,1.7296666666666676
15:13:17.020364,7.31,7.31,9713.82,16.4,7.4,1.614777777777778
15:13:17.130864,5.96,5.96,9733.05,16.4,7.7,1.8180833333333344
15:13:17.241030,8.31,8.31,9742.01,16.4,9.5,2.3036944444444445
15:13:17.345376,8.29,8.29,9685.2,16.3,7.6,2.043444444444445
15:13:17.455668,12.07,12.07,9683.11,16.3,5.5,1.616944444444445
15:13:17.559258,10.68,10.68,9683.82,16.3,4.9,1.8081388888888894
15:13:17.662690,75.32,75.32,9684.25,16.3,6.2,1.5641666666666674
15:13:17.773391,8.55,8.55,9685.95,16.3,6.1,1.522083333333334
15:13:17.884038,7.75,7.75,9684.14,16.3,5.5,1.5228611111111117
15:13:17.994682,6.38,6.38,9688.36,16.3,5.5,1.5200277777777789
15:13:18.105330,7.76,7.76,9687.58,16.3,5.5,1.6520277777777785
15:13:18.215941,9.19,9.19,9688.32,16.3,4.8,1.5866388888888896
15:13:18.326581,9.59,9.59,9688.74,16.3,7.1,1.7213055555555563
15:13:18.437251,7.66,7.66,9704.74,16.3,7.9,1.648833333333334
15:13:18.547874,8.24,8.24,9715.23,16.4,7.7,1.843833333333334
15:13:18.658556,6.41,6.41,9728.87,16.4,8.4,1.9200277777777788
15:13:18.769256,5.79,5.79,9749.25,16.4,8.2,1.930194444444445
15:13:18.879898,12.0,12.0,9687.32,16.3,8.2,1.9911388888888897
15:13:18.990465,7.24,7.24,9699.98,16.3,7.4,1.9693055555555565
15:13:19.101360,1.61,1.61,9716.16,16.4,7.9,1.7313333333333345
15:13:19.212002,7.18,7.18,9734.32,16.4,8.2,1.6228611111111118
15:13:19.322701,6.9,6.9,9741.62,16.4,8.9,2.279361111111112
15:13:19.433446,10.94,10.94,9683.46,16.3,7.4,1.9348888888888898
15:13:19.544144,9.4,9.4,9685.41,16.3,5.8,2.006527777777779
15:13:19.650846,10.13,10.13,9681.64,16.3,4.6,1.7183333333333342
15:13:19.761522,8.23,8.23,9683.78,16.3,5.7,1.5959166666666667
15:13:19.872106,5.92,5.92,9682.99,16.3,5.2,1.6731944444444453
15:13:19.982685,7.3,7.3,9683.69,16.3,5.8,1.9790833333333342
15:13:20.093999,6.77,6.77,9683.34,16.3,6.3,1.7526111111111116
15:13:20.205072,6.81,6.81,9684.14,16.3,5.7,1.8116388888888895
15:13:20.316101,7.75,7.75,9684.12,16.3,5.0,1.6903055555555562
15:13:20.427509,8.48,8.48,9688.54,16.3,6.0,1.8150555555555554
15:13:20.538375,5.92,5.92,9707.22,16.3,7.7,1.7402500000000005
15:13:20.649497,8.19,8.19,9713.28,16.4,9.4,2.2504166666666667
15:13:20.760893,6.31,6.31,9725.96,16.4,8.7,1.9822500000000005
15:13:20.871675,7.25,7.25,9731.34,16.4,7.4,2.2366388888888893
15:13:20.982489,12.3,12.3,9680.92,16.3,7.4,2.209361111111112
15:13:21.089958,6.57,6.57,9697.25,16.3,7.4,1.8729166666666675
15:13:21.195142,6.69,6.69,9701.25,16.3,7.6,1.681694444444445
15:13:21.305965,9.73,9.73,9715.78,16.4,7.1,1.7466666666666677
15:13:21.410947,6.68,6.68,9720.17,16.4,7.1,2.549833333333334
15:13:21.514355,12.99,12.99,9659.42,16.3,5.7,1.760416666666668
15:13:21.625120,10.26,10.26,9660.83,16.3,4.7,1.5448055555555564
15:13:21.735744,7.33,7.33,9661.48,16.3,4.2,1.6089444444444456
15:13:21.846461,6.8,6.8,9661.83,16.3,4.0,1.6136388888888897
15:13:21.957146,6.4,6.4,9662.68,16.3,4.5,1.5500277777777782
15:13:22.067779,4.8,4.8,9663.3,16.3,4.2,1.5314722222222228
15:13:22.178423,9.27,9.27,9664.42,16.3,4.5,1.534805555555556
15:13:22.288803,13.62,13.62,9661.57,16.3,6.1,2.051777777777779
15:13:22.393146,14.15,14.15,9662.28,16.3,4.3,1.3777777777777784
15:13:22.504125,16.64,16.64,9671.47,16.3,6.5,1.7139166666666674
15:13:22.614885,22.04,22.04,9692.6,16.3,10.5,2.47175
15:13:22.725688,17.01,17.01,9708.9,16.4,11.0,1.6924444444444455
15:13:22.836452,10.55,10.55,9724.37,16.4,11.0,1.9039444444444453
15:13:22.947175,15.73,15.73,9731.22,16.4,10.3,2.032027777777779
15:13:23.057969,20.32,20.32,9676.89,16.3,9.3,1.8135555555555563
15:13:23.169351,9.34,9.34,9697.54,16.3,7.8,1.7051388888888892
15:13:23.280739,4.36,4.36,9712.57,16.4,7.9,1.906972222222223
15:13:23.391367,28.21,28.21,9732.23,16.4,6.4,1.7540000000000011
15:13:23.502134,28.61,28.61,9735.36,16.4,7.9,2.1568333333333336
15:13:23.612944,19.49,19.49,9677.19,16.3,6.5,1.6821944444444457
15:13:23.723826,13.21,13.21,9677.02,16.3,4.5,1.44663888888889
15:13:23.834521,13.08,13.08,9677.38,16.3,5.2,1.3640000000000008
15:13:23.945183,9.0,9.0,9677.38,16.3,5.2,1.3630555555555564
15:13:24.055950,16.97,16.97,9678.04,16.3,5.0,1.4491944444444451
15:13:24.166713,7.86,7.86,9679.28,16.3,4.7,1.4423611111111123
15:13:24.277309,15.36,15.36,9679.3,16.3,5.0,1.44788888888889
15:13:24.387996,12.55,12.55,9681.18,16.3,5.3,1.4481944444444455
15:13:24.498646,8.75,8.75,9680.59,16.3,4.5,1.463500000000001
15:13:24.609487,6.86,6.86,9687.41,16.3,6.3,1.5329444444444456
15:13:24.720154,6.23,6.23,9707.82,16.3,7.6,1.6486944444444456
15:13:24.830745,8.77,8.77,9720.05,16.4,7.4,1.718527777777779
15:13:24.940957,10.01,10.01,9740.61,16.4,8.5,1.920361111111112
15:13:25.044527,18.89,18.89,9743.81,16.4,7.4,1.8286666666666678
15:13:25.155229,8.71,8.71,9697.04,16.3,6.9,1.6443611111111123
15:13:25.262215,18.14,18.14,9713.0,16.4,7.7,1.6012777777777796
15:13:25.365901,8.83,8.83,9728.16,16.4,7.4,1.9787500000000007
15:13:25.469777,17.45,17.45,9742.28,16.4,8.4,1.8112222222222227
15:13:25.580456,13.61,13.61,9738.32,16.4,8.4,1.966833333333334
15:13:25.691062,8.94,8.94,9678.75,16.3,4.8,1.7149444444444455
15:13:25.801622,7.71,7.71,9679.84,16.3,4.8,1.745194444444445
15:13:25.912008,7.78,7.78,9676.2,16.3,5.6,2.757777777777778
15:13:26.016999,16.59,16.59,9676.6,16.3,4.9,1.95038888888889
15:13:26.129098,11.53,11.53,9677.26,16.3,4.7,1.6825000000000006
15:13:26.239956,6.9,6.9,9676.21,16.3,4.7,1.563361111111112
15:13:26.351066,11.19,11.19,9679.31,16.3,5.0,1.5099444444444452
15:13:26.461761,14.12,14.12,9681.66,16.3,4.2,1.4779166666666674
15:13:26.572482,17.14,17.14,9682.58,16.3,4.7,1.4646388888888895
15:13:26.683096,4.41,4.41,9699.03,16.3,7.1,1.7163333333333342
15:13:26.793926,12.91,12.91,9716.26,16.4,7.1,1.684500000000001
