time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
20:16:33.347003,2.26,23621.16,12369.61,23.5,3.3,1.4471666666666672
20:16:33.450384,8.35,23707.31,12369.61,23.5,4.1,1.4193888888888895
20:16:33.554071,5.41,23736.48,12369.61,23.5,3.8,1.4193888888888893
20:16:33.658817,5.35,23745.29,12369.61,23.5,3.8,1.3755833333333334
20:16:33.764782,5.91,23661.36,12369.61,23.5,4.3,1.371777777777778
20:16:33.872508,5.2,23717.36,12369.61,23.5,3.7,1.4552777777777783
20:16:33.981697,8.59,23782.99,12369.61,23.5,3.7,1.453083333333334
20:16:34.092316,4.93,23735.44,12369.61,23.5,4.2,1.3526944444444446
20:16:34.202976,5.61,22268.74,12369.86,23.5,4.7,1.6287500000000006
20:16:34.313615,6.28,23618.83,12370.14,23.5,4.5,1.7300555555555568
20:16:34.424281,15.32,23698.62,12370.38,23.5,4.0,1.590833333333334
20:16:34.534966,7.18,23638.22,12370.38,23.5,4.5,1.4554722222222232
20:16:34.645637,5.06,23680.8,12370.38,23.5,3.7,1.725194444444445
20:16:34.756381,5.72,22559.59,12370.38,23.5,4.5,1.3831944444444453
20:16:34.867186,5.06,22616.03,12370.38,23.5,3.9,1.3560277777777785
20:16:34.978436,5.53,23772.63,12370.36,23.5,4.7,1.352694444444445
20:16:35.089262,7.93,23642.28,12370.36,23.5,3.4,1.3526388888888894
20:16:35.199942,7.11,23607.28,12370.41,23.5,3.9,1.3526944444444453
20:16:35.310239,5.63,23691.9,12358.55,23.5,5.5,1.5498611111111122
20:16:35.416973,5.32,23791.91,12358.55,23.5,3.7,1.5146111111111116
20:16:35.527625,5.07,23811.32,12358.55,23.5,3.4,1.4666111111111118
20:16:35.638390,4.99,23779.09,12358.55,23.5,3.9,1.5693611111111119
