('22:48:03.000070', 34527.81, 494.75, 8209.0, 14.0, 7.1, 1.9331111111111114)
('22:48:03.116407', 34768.74, 502.98, 8234.62, 14.0, 0.0, 1.7710833333333338)
('22:48:03.222487', 34426.93, 502.37, 8249.22, 14.0, 9.1, 2.055472222222223)
('22:48:03.328654', 34637.6, 492.11, 8260.09, 14.1, 10.0, 1.8554722222222226)
('22:48:03.434304', 34507.58, 504.41, 8269.83, 14.1, 11.1, 2.2674444444444455)
('22:48:03.539268', 34424.56, 497.75, 8271.46, 14.1, 11.1, 2.3085000000000004)
------------time slot: 2015-08-02 00:00:06, band 8559.0 Kbps -------------
('22:48:03.645534', 34539.45, 501.49, 8212.85, 14.0, 0.0, 2.1329444444444454)
('22:48:03.752074', 34003.46, 500.2, 8212.34, 14.0, 7.1, 1.8586944444444446)
('22:48:03.867387', 33827.06, 498.39, 8212.46, 14.0, 3.8, 1.6545555555555562)
('22:48:03.982339', 34601.55, 500.33, 8213.19, 14.0, 7.4, 1.655472222222223)
('22:48:04.097897', 34391.22, 497.33, 8201.9, 14.0, 10.0, 1.6774444444444447)
('22:48:04.206058', 34286.12, 502.36, 8203.68, 14.0, 0.0, 1.5777500000000007)
('22:48:04.312032', 34678.75, 502.87, 8203.97, 14.0, 7.7, 1.6330277777777786)
('22:48:04.424563', 34273.3, 501.42, 8203.57, 14.0, 0.0, 1.7568888888888896)
('22:48:04.530249', 34357.56, 494.35, 8203.97, 14.0, 10.0, 1.7555555555555564)
('22:48:04.636488', 34351.19, 501.61, 8204.24, 14.0, 8.0, 1.5965555555555562)
('22:48:04.751762', 34411.72, 498.56, 8224.69, 14.0, 0.0, 1.6886944444444456)
('22:48:04.858356', 34036.77, 500.53, 8237.61, 14.0, 11.1, 1.6777222222222228)
('22:48:04.972632', 34600.18, 502.91, 8258.89, 14.1, 8.3, 1.8080277777777785)
('22:48:05.080101', 34565.19, 495.87, 8261.58, 14.1, 11.5, 2.3263611111111118)
('22:48:05.195617', 34447.36, 506.56, 8261.13, 14.1, 7.7, 2.08663888888889)
------------time slot: 2015-08-02 00:00:07, band 7321.0 Kbps -------------
('22:48:05.311202', 34597.16, 497.22, 8198.0, 14.0, 7.4, 1.933361111111112)
