time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
16:36:33.555598,7.89,7.89,10126.51,17.0,3.6,1.5726944444444453
16:36:33.658790,31.43,31.43,10126.51,17.0,3.3,1.3315833333333338
16:36:33.761740,10.27,10.27,10126.46,17.0,3.3,1.4000555555555563
16:36:33.864816,11.69,11.69,10126.46,17.0,3.5,1.3305277777777782
16:36:33.970354,11.34,11.34,10126.46,17.0,3.2,1.3781666666666674
16:36:34.073213,14.62,14.62,10126.33,17.0,3.3,1.434972222222223
16:36:34.176134,14.01,14.01,10126.58,17.0,2.7,1.4999166666666677
16:36:34.278968,11.79,11.79,10126.58,17.0,3.3,1.271666666666667
16:36:34.386979,12.1,12.1,10163.9,17.1,2.7,1.4999166666666677
16:36:34.490031,14.05,14.05,10124.92,17.0,4.1,1.8041388888888896
16:36:34.592990,12.36,12.36,10125.13,17.0,3.6,1.6446111111111124
16:36:34.696119,34.19,34.19,10127.13,17.0,4.1,1.3979166666666678
16:36:34.805292,11.61,11.61,10127.57,17.0,2.9,1.3998611111111117
16:36:34.908271,11.05,11.05,10127.57,17.0,3.3,1.3998611111111117
16:36:35.011114,10.76,10.76,10127.57,17.0,3.6,1.753055555555556
16:36:35.114012,10.31,10.31,10127.2,17.0,3.0,1.478944444444445
16:36:35.217374,11.64,11.64,10127.2,17.0,3.0,1.4693611111111116
16:36:35.323655,10.97,10.97,10127.2,17.0,2.7,1.4515277777777784
16:36:35.426522,14.48,14.48,10127.78,17.0,3.3,1.469305555555556
16:36:35.529644,15.59,15.59,10128.02,17.0,3.5,1.6358888888888896
16:36:35.633948,13.83,13.83,10128.02,17.0,2.8,1.4533888888888893
16:36:35.736770,29.87,29.87,10128.02,17.0,3.0,1.3541111111111117
16:36:35.841439,11.77,11.77,10128.18,17.0,3.0,1.4999166666666675
16:36:35.944441,11.0,11.0,10128.18,17.0,3.0,1.4000000000000006
16:36:36.047578,10.91,10.91,10128.42,17.0,3.3,1.339055555555556
16:36:36.156765,13.16,13.16,10117.9,17.0,4.6,1.8496111111111115
16:36:36.259792,40.59,40.59,10117.59,17.0,3.3,1.4073888888888897
16:36:36.362801,11.97,11.97,10117.59,17.0,3.0,1.3102777777777783
16:36:36.473111,10.55,10.55,10117.77,17.0,2.9,1.3999722222222233
16:36:36.576191,11.26,11.26,10117.73,17.0,3.0,1.4911111111111122
16:36:36.686656,12.34,12.34,10117.73,17.0,3.9,1.478361111111112
16:36:36.797152,27.76,27.76,10129.05,17.0,3.2,1.3872222222222228
16:36:36.907739,11.51,11.51,10118.62,17.0,2.9,1.399833333333334
16:36:37.018253,14.51,14.51,10118.62,17.0,2.9,1.376777777777778
16:36:37.128718,9.89,9.89,10118.62,17.0,3.7,1.3751388888888894
16:36:37.239188,10.58,10.58,10119.77,17.0,3.2,1.2999166666666673
16:36:37.349703,11.33,11.33,10119.77,17.0,2.9,1.393916666666667
16:36:37.460069,10.93,10.93,10120.0,17.0,3.4,1.386583333333334
16:36:37.570518,77.7,77.7,10120.93,17.0,5.0,1.4257500000000005
16:36:37.680903,76.14,76.14,10120.93,17.0,5.0,1.4031666666666678
16:36:37.791086,75.89,75.89,10121.42,17.0,4.5,1.3857222222222232
16:36:37.895546,30.25,30.25,10121.58,17.0,3.0,1.3526666666666676
16:36:38.006171,11.07,11.07,10121.58,17.0,3.2,1.361083333333334
16:36:38.117048,24.25,24.25,10130.3,17.0,9.6,2.1756666666666673
16:36:38.229422,12.16,12.16,10130.62,17.0,8.1,1.5720000000000012
16:36:38.339849,10.54,10.54,10125.41,17.0,8.8,3.271027777777777
16:36:38.443781,11.41,11.41,10126.75,17.0,4.9,1.8181388888888894
16:36:38.554529,10.42,10.42,10173.51,17.1,4.2,1.6616666666666675
16:36:38.665154,11.48,11.48,10127.65,17.0,3.2,1.5749444444444454
16:36:38.775584,28.78,28.78,10127.64,17.0,3.2,1.5564166666666674
16:36:38.885998,10.51,10.51,10127.64,17.0,2.9,1.5102777777777787
16:36:38.996521,14.21,14.21,10129.07,17.0,3.2,1.5266666666666668
16:36:39.106994,10.37,10.37,10129.07,17.0,3.2,1.5044166666666674
16:36:39.217467,47.33,47.33,10131.03,17.0,5.0,1.9405555555555563
16:36:39.327964,21.97,21.97,10131.43,17.0,3.2,1.5223055555555567
16:36:39.437625,13.89,13.89,10131.68,17.0,2.9,1.4527500000000009
16:36:39.548070,31.61,31.61,10131.92,17.0,3.4,1.377555555555556
